Cargo,Cargo classification,Carrier,Carrier classification,Sequences count,Publications count,Sequences,Publications
aggregatibacter actinomycetemcomitans,Bacteria,homo sapiens,Human,1869,198,285173163;285173165;285173169;285173171;285173173;285173175;285173179;305682529;305682530;307133491;307548782;307548797;307827243;307827245;307827247;307827249;307827251;307827253;307827255;307827257;307827259;322952243;329025347;347990752;347990753;347990756;347990762;347990765;347990766;347990770;347990771;347990790;347990791;347990794;347990798;347990799;347990809;347990810;347990811;347990812;347990815;347990816;347990824;347990825;347990826;347990829;347990833;347990834;347990835;347990844;347990845;347990858;347990859;347990977;347990980;347990998;347991010;347991014;347991017;347991020;347991052;347991056;347991063;347991066;347991078;347991079;347991105;347991106;347991116;347991117;347991169;347991170;347991178;347991179;347991182;347991183;347991235;347991249;347991253;347991256;347991264;347991265;347991266;347991283;347991284;347991307;347991308;347991325;347991326;347991332;347991333;347991334;347991335;347991412;347991421;347991422;347991435;347991436;347991437;347991438,1398963;1465587;1855989;2019443;2098714;2141877;2193702;2254014;2524582;3013779;3258584;6386438;7478753;7496539;7565172;7634351;7487574;7152684;6735473;6688439;8085309;6407997;8233566;8253980;8262620;3882766;3466909;3271021;3166055;3165085;3047856;2693496;2469776;2324351;8961558;2212083;9138195;9198285;1940358;1890226;1837053;1708231;1658711;1381732;1336047;1324302;637050;10456935;10769165;7649451;10832482;7748540;10899863;7868228;7907346;8133419;8336250;11154406;8530743;11246701;8589666;8698480;11442733;8705818;8708945;8837475;8858539;8894718;11759873;11777842;9042080;9353051;11882035;11985513;9569986;9663026;12366864;9705210;9807122;10093531;10102746;10362279;10371246;12716334;10791704;10870468;12930529;10946289;10948174;14506056;11035711;11144404;11240858;11321362;15206912;11327077;11453114;11519695;15713614;15728941
aggregatibacter aphrophilus,Bacteria,homo sapiens,Human,9,9,284451158;285176360;285176361;285176362;285192774;285192778;285192780;285192782;290759927,637050;2469776;3751576;6407997;8233566;9810657;9733388;5798638;3700628
aggregatibacter segnis,Bacteria,homo sapiens,Human,63,0,285196795;285196797;285196801;285196803;285196805;285196807;285196809;285196811;285196813;285196815;285196817;285196819;290759919;290759920;315475956;315475959;315475960;315475961;315476058;315476177;315476179;315476215;315476320;315476505;315476526;315476695;315476805;315476826;315477037;315477050;315477473;315477842;315477931;315633342;315633431;315633800;315634223;315634236;315634447;315634468;315634578;315634747;315634768;315634953;315635058;315635094;315635096;315635215;315635312;315635313;315635314;315635315;315635317;318083315;318083316;318083317;318083318;318083319;319430930;319430931;319430932;319430933;319430934,NA
agrobacterium larrymoorei,Bacteria,homo sapiens,Human,1,0,285204822,NA
agrobacterium rhizogenes,Bacteria,homo sapiens,Human,2,0,285204622;285204624,NA
agrobacterium tumefaciens,Bacteria,homo sapiens,Human,45,43,15862187;15862188;15862192;15862193;15862194;157743984;157743986;157743988;157743992;157744020;207366285;207366289;207366315;255287393;255287395;285171997;285171999;285172001;285172003;285172005;285172007;285172022;285172024;285172025;313574324;313574390;313574392;313574394;313574398;313574424;313574490;313574492;313574494;313574498;313574524;313574588;313574590;313574592;313574596;313574622;313574688;313574690;313574692;313574696;313574722,1381711;1964923;2591169;7766897;7855433;8142949;9052777;9305793;10200324;10510235;10717319;12044549;12426091;12684047;15107863;16255145;16289425;18444969;18931388;19226276;21266198;21256883;19929900;18480119;16787008;15641254;15584026;15358411;14735386;12987110;12899693;12898134;12868652;12174821;12106902;12088662;11918819;11890558;11876469;11707425;11309113;8988763;1384048
agrococcus baldri,Bacteria,homo sapiens,Human,1,0,285200211,NA
aichi virus,Virus,homo sapiens,Human,139,4,3298106;9630643;18539226;23503736;23503738;23503740;23503742;23503744;23503746;23503748;23503750;23503752;23503754;23503756;31096576;31096578;31096580;73427790;78057845;78057847;82503285;118084573;118084575;118084577;118084579;118084581;118084583;118084585;118084587;118084589;118084591;118084593;118084595;118084597;118084599;157644792;157644794;157644798;157644800;157644802;157644808;157644810;157644812;157644814;161015412;161015414;161015416;161015418;161015420;161015422;161015424;161015426;161015428;161015430;161015432;161015434;197361195;210161034;227336659;227336661;227336663;227336665;227336667;227336669;227336671;227336673;227336675;227336677;227336679;227336681;227336683;227336685;227336687;227336689;227336691;227336693;227336695;227336697;227336699;227336701;227336703;227336705;227336707;227336709;227336711;227336713;227336715;227336717;227336719;227336721;260176781;260176783;260176785;260176787;260176789;260176791;260176793;260176795;285028665;285028667,15084405;17184849;21294214;21775584
ajellomyces capsulatus,Fungi,homo sapiens,Human,3,123,239759782;239759820;283825284,1387537;1398972;1624804;1640242;1644137;1898916;1945308;2035163;2104917;2194958;2204523;2234884;2652235;2806107;3110092;3214502;4208527;4621155;4640739;4963441;6260684;6329600;6441272;6829705;7256491;7400626;7582643;7612761;7631559;7650732;7666725;7677223;7898509;7991523;7997862;8065179;8125338;8187612;8251591;8298270;8328777;8346384;8457161;8597280;8812309;9011827;9029116;9109150;9144915;9166428;9300631;9316918;9329891;9431376;9431946;9528729;9553921;9738049;9830279;10543744;10569756;10746222;10798040;10817743;10822504;10882532;10923958;10992469;11204155;11602023;11703524;11780341;11980934;12496435;12734441;12892200;12938011;13092223;13860615;14977971;15078431;15283245;15888943;16177358;16450579;16496069;16699636;16864987;17334730;17867281;18217314;18445963;18473518;18625370;18791067;18927407;19240010;19507469;19699948;20124881
ajellomyces dermatitidis,Fungi,homo sapiens,Human,0,37,NA,1034455;1249801;1383148;1567099;1573520;2509572;2652235;3942552;3965594;6329600;7520423;7612761;7898509;7933142;8812309;9074500;9431946;9738049;10618119;10817743;10822504;10882532;11204155;11816782;11998870;13725815;13860615;15078431;17686521;17784682;19454939;19866867;20463990;21291603;21358886;21496229;21801047
